"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"1","FERRARI","SF90 STRADALE","V8","3990 cc","963 hp","340 km/h","2.5 sec","$1,100,000 ","PIH","2","800 Nm","Coupe","16","22"
"2","ROLLS ROYCE","PHANTOM","V12","6749 cc","563 hp","250 km/h","5.3 sec","$460,000 ","Petrol","5","900 Nm","Sedan","12","21"
"3","Ford","KA+","1.2L Petrol","1,200 cc","70-85 hp","165 km/h","10.5 sec","$12,000 ","Petrol","5","100 - 140 Nm","Hatchback","43","11.6"
"4","MERCEDES"," GT 63 S","V8","3,982 cc","630 hp","250 km/h","3.2 sec","$161,000 ","Petrol","4","900 Nm","Coupe","18","21.1"
"5","AUDI","AUDI R8 Gt","V10","5,204 cc","602 hp","320 km/h","3.6 sec","$253,290 ","Petrol","2","560 Nm","Coupe","15","21.1"
"6","BMW","Mclaren 720s","V8","3,994 cc","710 hp","341 km/h","2.9 sec","$499,000 ","Petrol","2","770 Nm","Coupe","15","19.8"
"7","ASTON MARTIN","VANTAGE F1","V8","3,982 cc","656 hp","314 km/h","3.6 sec","$193,440 ","Petrol","2","685 Nm","Van","15","19.5"
"8","BENTLEY","Continental GT Azure","V8","3,996 cc","550 hp","318 km/h","4.0 sec","$311,000 ","Petrol","4","900 Nm","Coupe","14","22.5"
"9","LAMBORGHINI","VENENO ROADSTER","V12","6,498 cc","750 hp","356 km/h","2.9 sec","$4,500,000 ","Petrol","2","690 Nm","Convertible","9","22.0"
"10","FERRARI","F8 TRIBUTO","V8","3,900 cc","710 hp","340 km/h","2.9 sec","$280,000 ","Petrol","2","770 Nm","Sedan","14","22.0"
"11","FERRARI","812 GTS","V12","6496 cc","789 hp","340 km/h","2.9 sec","$350,000 ","Petrol","2","718 Nm","Coupe","12","22.0"
"12","FERRARI","PORTOFINO","V8","3,900 cc","592 hp","320 km/h","3.2 sec","$210,000 ","Petrol","4","760 Nm","Sedan","15","20.0"
"13","FERRARI","ROMA","V8","3,900 cc","612 hp","320 km/h","3.4 sec","$230,000 ","Petrol","4","760 Nm","Coupe","16","20.0"
"14","FERRARI","MONZA SP2","V12","6,496 cc","789 hp","340 km/h","2.9 sec","$1,700,000 ","Petrol","2","719 Nm","Coupe","12","22.0"
"15","FERRARI","F8 SPIDER","V8","3,900 cc","710 hp","340 km/h","2.9 sec","$280,000 ","Petrol","2","770 Nm","Convertible","14","20.0"
"16","FERRARI","PORTOFINO M","V8","3,900 cc","612 hp","320 km/h","3.2 sec","$220,000 ","Petrol","4","760 Nm","Sedan","15","20.0"
"17","FERRARI","ROMA SPIDER","V8","3,900 cc","612 hp","320 km/h","3.4 sec","$240,000 ","Petrol","4","760 Nm","Convertible","16","20.0"
"18","TOYOTA","GR SUPRA","I4","2,998 cc","382 hp","250 km/h","4.1 sec","$53,900 ","Petrol","2","500 Nm","Coupe","25","15.9"
"19","TOYOTA","TOYOTA 86","BOXER-4","1,998 cc","205 hp","226 km/h","6.4 sec","$27,000 ","Petrol","4","205 Nm","Sedan","28","13.2"
"20","TOYOTA","TOYOTA  GR86","BOXER-4","2,387 cc","228 hp","226 km/h","5.6 sec","$30,000 ","Petrol","4","250 Nm","Coupe","28","13.2"
"21","TOYOTA","TOYOTA LAND CRUISER","V8","5,663 cc","381 hp","220 km/h","6.7 sec","$85,000 ","Diesel","7","500 Nm","SUV","17","24.6"
"22","TOYOTA","TOYOTA SEQUOIA","V8","5,663 cc","381 hp","200 km/h","6.9 sec","$50,000 ","Petrol","7","651 Nm","Sedan","16","26.4"
"23","NISSAN","GT-R","V6","3,799 cc","600 hp","315 km/h","2.9 sec","$113,000 ","Petrol","4","637 Nm","Coupe","18","20.0"
"24","NISSAN","370Z","V6","3,696 cc","332 hp","250 km/h","4.7 sec","$30,000 ","Petrol","2","366 Nm","Coupe","23","19.5"
"25","NISSAN","Z PROTO","V6","2,998 cc","400 hp","290 km/h","4.1 sec","$40,000 ","Petrol","2","475 Nm","Sedan","23","16.0"
"26","NISSAN","ALTIMA","I4","2,488 cc","188 hp","225 km/h","7.3 sec","$25,000 ","Petrol","5","380 Nm","Sedan","30","16.2"
"27","NISSAN","MAXIMA","V6","3,498 cc","300 hp","240 km/h","5.8 sec","$35,000 ","Petrol","5","354 Nm","Sedan","26","18.5"
"28","NISSAN","SENTRA","I4","1,998 cc","149 hp","200 km/h","8.2 sec","$20,000 ","Petrol","5","240 Nm","Sedan","34","13.2"
"29","NISSAN","ROGUE","I4","2,488 cc","201 hp","200 km/h","7.5 sec","$28,000 ","Petrol","5","270 Nm","SUV","30","14.5"
"30","NISSAN","PATHFINDER","V6","3,498 cc","284 hp","225 km/h","6.5 sec","$35,000 ","Petrol","7","351 Nm","SUV","25","19.5"
